p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.392406626035404e-52,0.38228729003317313,0.166,0.051,6.10398626566673e-48,cocultWTMacFib,Ctla2a
2.6547558535818552e-52,-0.5516243709644049,0.516,0.723,6.773344084828745e-48,cocultWTMacFib,Gusb
2.8903436480048493e-52,-0.5622488772950539,0.342,0.589,7.374422783519572e-48,cocultWTMacFib,Apobec3
3.234853093381566e-52,-0.4407443635441588,0.578,0.785,8.253404182453728e-48,cocultWTMacFib,Fus
3.2498993618954096e-52,-0.4744137880813194,0.266,0.523,8.291793231939948e-48,cocultWTMacFib,Cln8
3.2714644910472036e-52,-0.4677197164225655,0.334,0.601,8.346814502457835e-48,cocultWTMacFib,Ctdsp2
4.2440986860159574e-52,-0.5739236729572059,0.619,0.801,1.0828393387501113e-47,cocultWTMacFib,Ifi204
4.870529033770306e-52,0.27111202052013433,0.106,0.024,1.2426667776761559e-47,cocultWTMacFib,Trem1
4.883713773950042e-52,-0.473906527135719,0.415,0.665,1.2460307322856136e-47,cocultWTMacFib,Copz1
6.250843898490206e-52,-0.49186385597560567,0.446,0.685,1.5948403122607912e-47,cocultWTMacFib,Inpp5d
9.255810946404933e-52,-0.4746919993083598,0.304,0.561,2.3615276048657544e-47,cocultWTMacFib,Xylt2
1.0295212866730866e-51,-1.6436305690059432,0.114,0.329,2.626720610817713e-47,cocultWTMacFib,Cd5l
1.6664099683695065e-51,0.46374714728547217,0.835,0.766,4.251678393297959e-47,cocultWTMacFib,Atp5l
2.1350456962327548e-51,-0.45299806600378567,0.261,0.52,5.44735558936825e-47,cocultWTMacFib,Irf5
2.429573852793881e-51,0.4312842694939394,0.895,0.889,6.198814728018308e-47,cocultWTMacFib,Arpc1b
2.8880564598119526e-51,1.638183000657782,0.163,0.051,7.368587251564216e-47,cocultWTMacFib,Cxcl3
3.3731163062735856e-51,-0.5270413532708829,0.663,0.824,8.606168943826426e-47,cocultWTMacFib,Atp6v1a
3.5577451347811314e-51,-0.48725102992467617,0.227,0.477,9.077230936880578e-47,cocultWTMacFib,Hexim1
3.845847423207957e-51,-0.4119491836031017,0.128,0.367,9.812295115572782e-47,cocultWTMacFib,Ogfr
4.535928565124896e-51,-0.45263522331870465,0.333,0.595,1.157296814105966e-46,cocultWTMacFib,Mapkapk2
5.919976936620889e-51,0.5240832404070219,0.807,0.71,1.5104229156094535e-46,cocultWTMacFib,Dab2
6.819577242604097e-51,-0.36050316629641976,0.871,0.951,1.7399469376780092e-46,cocultWTMacFib,Npm1
7.907038366087636e-51,-0.43473599194585444,0.408,0.663,2.0174017687235995e-46,cocultWTMacFib,Hnrnpc
8.607372594673716e-51,-0.4529167167153971,0.217,0.473,2.196085043805052e-46,cocultWTMacFib,Pip4k2a
9.379634017169023e-51,-0.43611187165624954,0.477,0.709,2.3931198231405046e-46,cocultWTMacFib,Vcp
9.778457560134976e-51,-0.4229602965611843,0.893,0.952,2.4948756618928378e-46,cocultWTMacFib,Pabpc1
1.0336548656292998e-50,-0.47620898804694345,0.405,0.649,2.6372670241665955e-46,cocultWTMacFib,Hdgf
1.342528961938221e-50,-0.46859308136860167,0.602,0.798,3.4253283934891772e-46,cocultWTMacFib,Grb2
2.0924681541100982e-50,-0.48968212582145976,0.297,0.546,5.3387232483965045e-46,cocultWTMacFib,Psen2
2.231445912351435e-50,-0.47452714339224766,0.272,0.519,5.693311100773451e-46,cocultWTMacFib,Rufy3
3.5757561812625675e-50,-0.49447482753170413,0.233,0.477,9.123184320873315e-46,cocultWTMacFib,Uap1l1
3.7757566243685077e-50,-0.4534981038316165,0.314,0.566,9.633465451413811e-46,cocultWTMacFib,5031439G07Rik
4.310881182000397e-50,-0.4366497383189314,0.338,0.593,1.0998782247755813e-45,cocultWTMacFib,Abi1
4.34444106737853e-50,0.36100756753372787,0.953,0.959,1.1084406939309582e-45,cocultWTMacFib,Atp5e
4.85436225127908e-50,-0.49109356115240477,0.679,0.845,1.2385419847913445e-45,cocultWTMacFib,Actr3
6.111384206107778e-50,0.37697920615480296,0.939,0.933,1.5592585663463384e-45,cocultWTMacFib,Rpl36a
8.470783425301752e-50,0.5520564361055769,0.65,0.516,2.1612356831314888e-45,cocultWTMacFib,Trmt112
1.1550750422741342e-49,0.8079584608992785,0.701,0.526,2.947058462858226e-45,cocultWTMacFib,Mt2
1.1812339959216301e-49,-0.4427517467922739,0.213,0.457,3.013800417194447e-45,cocultWTMacFib,Tbc1d13
1.3037996563829323e-49,0.28183708167762084,0.159,0.05,3.326514443295413e-45,cocultWTMacFib,Col3a1
3.2530514126130936e-49,-0.4362364742553966,0.297,0.553,8.299835374141046e-45,cocultWTMacFib,Psmd13
4.504571756511608e-49,0.5096918436031743,0.342,0.174,1.1492964379563718e-44,cocultWTMacFib,Krt19
4.929887347637621e-49,0.5268028148834365,0.409,0.233,1.2578114578762626e-44,cocultWTMacFib,Lgals4
5.3100337154394994e-49,-0.4516780298344659,0.353,0.607,1.3548020021572338e-44,cocultWTMacFib,Synj1
5.4220465623006656e-49,-0.4935014540405954,0.414,0.649,1.3833809599053917e-44,cocultWTMacFib,Edem1
5.6552495332246205e-49,-0.45487749748507555,0.343,0.59,1.4428803659069298e-44,cocultWTMacFib,Cdipt
5.912575104107099e-49,-0.5575830056356066,0.306,0.543,1.5085344120618852e-44,cocultWTMacFib,Lmo4
6.5441129152516585e-49,-0.5021217032846257,0.47,0.693,1.6696649691973082e-44,cocultWTMacFib,Trim30a
7.392027437040974e-49,-0.4748070514991254,0.078,0.291,1.886001880286634e-44,cocultWTMacFib,Gpr162
8.585094518398022e-49,0.3585164964366805,0.924,0.905,2.1904010154240713e-44,cocultWTMacFib,Rpl29
1.0410916636254249e-48,-0.5282364878701944,0.51,0.736,2.656241270573909e-44,cocultWTMacFib,Pgd
1.0495433827950095e-48,-0.5041800731230304,0.469,0.689,2.6778049868631875e-44,cocultWTMacFib,Tor1aip1
1.1930980107819803e-48,-0.46746514828567604,0.121,0.342,3.0440702647091443e-44,cocultWTMacFib,Ube2l6
