"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.94778739934227e-39,0.365879408742257,0.961,0.789,1.30479447359648e-34,"Fib_CD34-","Psma1"
3.76690171156551e-25,0.364355008779341,0.82,0.562,7.07424141432003e-21,"Fib_CD34-","Myl9"
6.9491890848016e-42,0.364038091695236,0.76,0.382,1.30505771012574e-37,"Fib_CD34-","Iqcc"
6.76089570389655e-36,0.363694076018025,0.958,0.825,1.26969621319177e-31,"Fib_CD34-","Tmem126a"
2.86756029834723e-34,0.363649305778958,0.953,0.776,5.3852782402961e-30,"Fib_CD34-","Mrpl36"
1.70264337104549e-36,0.363482733642223,0.859,0.514,3.19756425082343e-32,"Fib_CD34-","Carhsp1"
5.97421470613797e-41,0.36312364312708,0.986,0.944,1.12195752181271e-36,"Fib_CD34-","Cops9"
7.37261937229979e-37,0.362851758238214,0.851,0.548,1.3845779181179e-32,"Fib_CD34-","Msrb1"
8.4205628825821e-33,0.362698242342321,0.851,0.562,1.58138170934892e-28,"Fib_CD34-","Hoxa10"
3.99068034396797e-37,0.362111936763357,0.902,0.629,7.49449768597184e-33,"Fib_CD34-","Atg3"
4.56850322711561e-48,0.362002615282288,0.673,0.272,8.57964906052312e-44,"Fib_CD34-","Chid1"
4.6206209973666e-47,0.361278666540153,0.997,0.99,8.67752623305448e-43,"Fib_CD34-","Cox5a"
5.57912143684551e-45,0.360206959978608,1,0.997,1.04775900583959e-40,"Fib_CD34-","Gnb2"
6.91770519396885e-36,0.36009376321019,0.815,0.501,1.29914503542735e-31,"Fib_CD34-","Trip11"
5.29883866018757e-33,0.35975910192125,0.886,0.572,9.95121900383226e-29,"Fib_CD34-","Pcdh7"
3.7771823341236e-42,0.359626177555903,0.77,0.412,7.09354842348413e-38,"Fib_CD34-","Trp53i13"
2.17211490644648e-34,0.359569570691046,0.886,0.588,4.07923179430649e-30,"Fib_CD34-","Irak1"
1.49574721524929e-37,0.359362404575204,0.637,0.285,2.80901327023817e-33,"Fib_CD34-","Ctxn1"
1.03207248148228e-51,0.358210816114149,0.999,1,1.93823212022372e-47,"Fib_CD34-","Uqcrb"
1.76139411574994e-35,0.358137853460719,0.91,0.644,3.30789814937839e-31,"Fib_CD34-","Tmem29"
6.6522524021962e-52,0.357789085346643,0.359,0.041,1.24929300113245e-47,"Fib_CD34-","Fosl1"
7.59476009109519e-78,0.357762231971019,0.538,0.075,1.42629594510768e-73,"Fib_CD34-","Lrba"
1.2298788399935e-68,0.357160169291655,0.46,0.056,2.3097124615078e-64,"Fib_CD34-","H4c9"
2.20139249524272e-33,0.356803459947096,0.87,0.565,4.13421510606582e-29,"Fib_CD34-","Tram1"
4.07964475217057e-35,0.356785896239999,0.953,0.78,7.66157284457633e-31,"Fib_CD34-","Sar1b"
6.13446425108963e-34,0.35631267774873,0.75,0.402,1.15205238635463e-29,"Fib_CD34-","Tubb2a"
7.37224211386575e-33,0.356128322085902,0.911,0.637,1.38450706898399e-28,"Fib_CD34-","Mcl1"
