Gene_Symbol,GeneID,Control,Yap KO,YapTg Dox-,YapTg Dox+,Combined fold change,Fold_log2
Maob,ENSMUSG00000040147,59.24242878,67.59551999,41.91578147,8.855284179,5.400825217,2.43317986
Gstm7,ENSMUSG00000004035,20.85820298,21.74060785,12.9831125,2.506106065,5.399756374,2.432894317
Csad,ENSMUSG00000023044,7.080903498,10.80333228,8.774179776,2.481167007,5.395349582,2.43171644
Bcas1,ENSMUSG00000013523,3.685482302,4.518231303,3.189360308,0.72499348,5.393163843,2.431131863
Gm12258,ENSMUSG00000068869,0.125251586,0.381688059,0.753726901,0.426278551,5.388226885,2.4298106
Tex12,ENSMUSG00000032065,1.024951797,1.3403132,0.973871992,0.2368598,5.376669868,2.426712892
Nr2e3,ENSMUSG00000032292,0.943764568,1.253627337,2.536608768,0.627017915,5.373760729,2.425932086
Ncald,ENSMUSG00000051359,1.231945346,1.68661353,1.289993601,0.328957049,5.36874155,2.424583956
Slc5a8,ENSMUSG00000020062,0.472094437,0.765983218,1.560051189,0.471902613,5.363852646,2.423269605
Mical1,ENSMUSG00000019823,10.11811498,14.30338035,8.553018887,2.258587824,5.353299304,2.420428316
Cbs,ENSMUSG00000024039,1.14027463,2.22195388,1.404653982,0.516643313,5.29790444,2.405421822
Naaladl1,ENSMUSG00000054999,39.52646667,61.24520122,89.00124581,26.14468513,5.274687586,2.399085647
Fzd4,ENSMUSG00000049791,1.358605825,1.63903885,1.8540616,0.425430235,5.257648924,2.39441781
Scin,ENSMUSG00000002565,58.69708013,70.18306169,64.35481777,14.64469507,5.254320302,2.39350415
Tead2,ENSMUSG00000030796,0.778978736,1.047129942,1.482698396,0.381379889,5.226007216,2.385709117
1810030J14Rik,ENSMUSG00000026531,31.46146625,44.69026697,4.400819777,1.197207844,5.221532917,2.38447341
Agmat,ENSMUSG00000040706,21.4494009,26.39655942,23.31452985,5.495569743,5.220908664,2.38430092
Lrrc19,ENSMUSG00000049799,15.83948799,18.38663175,14.87038043,3.316755456,5.204387992,2.37972852
Kcnj2,ENSMUSG00000041695,1.232626076,1.323747452,0.968843222,0.200114967,5.199334036,2.378326845
Gng11,ENSMUSG00000032766,4.231937969,3.90999931,3.641691026,0.649186709,5.182876539,2.373753028
Ptprn2,ENSMUSG00000056553,3.182880807,4.770345389,3.558201628,1.032764108,5.163674605,2.36839809
Selm,ENSMUSG00000075702,9.6669318,14.29873195,10.48874773,3.005201418,5.162486454,2.368066091
Mpp3,ENSMUSG00000052373,0.559658386,0.582198228,1.157201055,0.233578843,5.153748028,2.365622004
Esam,ENSMUSG00000001946,0.808783612,1.292853931,1.342893854,0.41706011,5.147070896,2.363751654
Ces2f,ENSMUSG00000062826,29.2165299,32.00543932,28.70048504,6.114474367,5.141919437,2.362307006
Cd200,ENSMUSG00000022661,0.57126943,0.747039968,0.971678073,0.248031392,5.122932166,2.356969789
Tac1,ENSMUSG00000061762,20.67550585,23.62209427,11.92374012,2.659706063,5.122018151,2.356712365
Slc6a4,ENSMUSG00000020838,9.374765954,12.29582415,10.06845686,2.578519327,5.121412203,2.356541681
Fbln1,ENSMUSG00000006369,37.00313375,50.14417829,25.29137372,6.706714214,5.11027924,2.353402126
Dak,ENSMUSG00000034371,334.0947174,508.3674758,246.5640677,73.41648544,5.110275861,2.353401172
Papss2,ENSMUSG00000024899,235.0919467,275.8554591,207.3888216,47.66763632,5.105115326,2.351943552
Lmcd1,ENSMUSG00000057604,2.650211344,2.560817231,1.865284902,0.353260895,5.102084944,2.351086918
Ttyh3,ENSMUSG00000036565,17.02253904,21.96052222,20.39303466,5.16855867,5.090151768,2.347708672
Mgst1,ENSMUSG00000008540,145.6024023,209.5383293,93.79510219,26.61096263,5.072411894,2.342671901
Gcg,ENSMUSG00000000394,21.44669329,35.38635752,20.60131101,6.705089588,5.069507777,2.341845676
Cyp2d22,ENSMUSG00000061740,8.539199782,8.947827484,6.690086785,1.385623223,5.059260316,2.338926473
Slc28a3,ENSMUSG00000021553,2.242915874,2.423432101,2.519515473,0.539588536,5.045127978,2.334890866
Dpep1,ENSMUSG00000019278,66.47220727,87.95849165,46.53542704,12.21263002,5.042108377,2.334027128
