,batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P
141,B1,1,AK_WER_Org_1,AK_WER,monoculture,Org,WER,1,1,0,1,AK,1,1,0
142,B1,2,AK_WER_Org_2,AK_WER,monoculture,Org,WER,1,1,0,1,AK,1,1,0
143,B1,3,AK_WER_Org_3,AK_WER,monoculture,Org,WER,1,1,0,1,AK,1,1,0
144,B1,1,AK_WNR_Org_1,AK_WNR,monoculture,Org,WNR,1,0,1,1,AK,1,1,0
145,B1,2,AK_WNR_Org_2,AK_WNR,monoculture,Org,WNR,1,0,1,1,AK,1,1,0
146,B1,3,AK_WNR_Org_3,AK_WNR,monoculture,Org,WNR,1,0,1,1,AK,1,1,0
147,B1,1,AK_W_Org_1,AK_W,monoculture,Org,W,1,0,0,0,AK,1,1,0
148,B1,2,AK_W_Org_2,AK_W,monoculture,Org,W,1,0,0,0,AK,1,1,0
149,B1,3,AK_W_Org_3,AK_W,monoculture,Org,W,1,0,0,0,AK,1,1,0
150,B3,1,A_Ctrl_Org_1,A_Ctrl,monoculture,Org,Ctrl,0,0,0,0,A,1,0,0
151,B3,2,A_Ctrl_Org_2,A_Ctrl,monoculture,Org,Ctrl,0,0,0,0,A,1,0,0
152,B3,3,A_Ctrl_Org_3,A_Ctrl,monoculture,Org,Ctrl,0,0,0,0,A,1,0,0
153,B3,1,A_ENR_Org_1,A_ENR,monoculture,Org,ENR,0,1,1,1,A,1,0,0
154,B3,2,A_ENR_Org_2,A_ENR,monoculture,Org,ENR,0,1,1,1,A,1,0,0
155,B3,3,A_ENR_Org_3,A_ENR,monoculture,Org,ENR,0,1,1,1,A,1,0,0
156,B3,1,A_E_Org_1,A_E,monoculture,Org,E,0,1,0,0,A,1,0,0
157,B3,2,A_E_Org_2,A_E,monoculture,Org,E,0,1,0,0,A,1,0,0
158,B3,3,A_E_Org_3,A_E,monoculture,Org,E,0,1,0,0,A,1,0,0
159,B3,1,A_N_Org_1,A_N,monoculture,Org,N,0,0,1,0,A,1,0,0
160,B3,2,A_N_Org_2,A_N,monoculture,Org,N,0,0,1,0,A,1,0,0
161,B3,3,A_N_Org_3,A_N,monoculture,Org,N,0,0,1,0,A,1,0,0
162,B3,1,A_R_Org_1,A_R,monoculture,Org,R,0,0,0,1,A,1,0,0
163,B3,2,A_R_Org_2,A_R,monoculture,Org,R,0,0,0,1,A,1,0,0
164,B3,3,A_R_Org_3,A_R,monoculture,Org,R,0,0,0,1,A,1,0,0
165,B3,1,A_WENR_Org_1,A_WENR,monoculture,Org,WENR,1,1,1,1,A,1,0,0
166,B3,2,A_WENR_Org_2,A_WENR,monoculture,Org,WENR,1,1,1,1,A,1,0,0
167,B3,3,A_WENR_Org_3,A_WENR,monoculture,Org,WENR,1,1,1,1,A,1,0,0
168,B3,1,A_WEN_Org_1,A_WEN,monoculture,Org,WEN,1,1,1,0,A,1,0,0
169,B3,2,A_WEN_Org_2,A_WEN,monoculture,Org,WEN,1,1,1,0,A,1,0,0
170,B3,3,A_WEN_Org_3,A_WEN,monoculture,Org,WEN,1,1,1,0,A,1,0,0
