ident,gene,coefD,pvalD,padjD,coefC,pvalC,padjC,mastfc,alpha,ref_alpha,mu,ref_mu,mean,ref_mean,log2fc,spec_h,spec_d
Microvascular,NOSTRIN,3.214573407,1.02122E-90,1.65252E-88,0.740421789,1.2935E-14,1.1096E-12,0.927784622,0.549261084,0.063081009,2.35649581,1.636807326,1.492060589,-2.349819389,3.841879978,FALSE,FALSE
Microvascular,STOM,3.211747854,1.935E-109,4.3054E-107,0.573494614,2.71015E-15,2.39706E-13,2.257939537,0.748768473,0.114741036,2.766465026,2.32822173,2.349056867,-0.795317284,3.144374151,FALSE,FALSE
Microvascular,COL4A2,3.198837583,2.23833E-90,3.58133E-88,0.443974089,9.31506E-07,2.37173E-05,1.433452098,0.596059113,0.062151394,2.542587565,2.322461405,1.796115463,-1.685593035,3.481708498,FALSE,FALSE
Microvascular,TGFBR2,3.192617159,3.85353E-98,7.31657E-96,0.544111084,2.90315E-10,1.44045E-08,1.320476383,0.677339901,0.077025232,2.662903685,1.955326008,2.100855949,-1.743183699,3.844039649,FALSE,FALSE
Microvascular,CCDC85B,3.192503985,2.15961E-91,3.5759E-89,1.451892653,2.2291E-104,2.8856E-101,3.034599301,0.886699507,0.261752988,3.640095924,2.240596584,3.466613154,0.30687746,3.159735694,FALSE,FALSE
Microvascular,NPDC1,3.164384098,2.2655E-103,4.7442E-101,0.77537421,8.09937E-23,1.24016E-20,1.575916126,0.751231527,0.147808765,2.785446246,2.111054623,2.372776,-0.647135018,3.019911018,FALSE,FALSE
Microvascular,C11orf95,3.124227583,3.75078E-27,1.18428E-25,0.3227752,0.134605286,0.338115942,0.15195773,0.133004926,0.007702523,2.204420501,1.163306623,-0.706020886,-5.85686076,5.150839874,TRUE,FALSE
Microvascular,EHD4,3.119600175,4.67422E-93,8.11718E-91,0.928779587,5.32141E-29,1.18401E-26,1.136442921,0.593596059,0.079814077,2.484236835,1.430975166,1.731790862,-2.216216557,3.948007419,FALSE,FALSE
Microvascular,IGFBP3,3.108399344,2.8745E-93,5.18139E-91,0.204826385,0.123572178,0.317343158,2.110587838,0.566502463,0.063213811,3.212581418,3.603854064,2.392735962,-0.379756266,2.772492228,FALSE,FALSE
Microvascular,ADARB1,2.948432685,2.57826E-18,5.32866E-17,0.084840574,0.758952685,1,0.178602044,0.115763547,0.008366534,1.850813823,2.264620243,-1.259922721,-4.636411433,3.376488713,TRUE,FALSE
Microvascular,ABI3,2.916763099,7.34426E-92,1.24503E-89,0.372004037,5.4492E-07,1.49512E-05,2.272921516,0.662561576,0.107436919,2.669823769,2.696946417,2.075950612,-0.521485474,2.597436086,FALSE,FALSE
Microvascular,IGFBP6,2.916140858,5.39858E-91,8.83629E-89,0.178970278,0.110269298,0.292660605,2.205867697,0.637931034,0.096945551,3.222020258,3.447985733,2.57349293,0.081308478,2.492184452,FALSE,FALSE
Microvascular,PPAP2A,2.854231283,1.33708E-85,1.96289E-83,1.002961255,2.47623E-40,8.3956E-38,2.438020803,0.822660099,0.196281541,3.469209316,2.406552864,3.187577788,0.057553106,3.130024682,FALSE,FALSE
Microvascular,BST2,2.842164593,4.27678E-80,5.8559E-78,0.751728413,3.01694E-25,5.23918E-23,2.81697935,0.86453202,0.292297477,3.488428164,2.927438155,3.278419537,1.152949017,2.12547052,FALSE,FALSE
Microvascular,RNASE1,2.838660778,1.50646E-81,2.08271E-79,0.540847729,2.28436E-08,7.93397E-07,1.813808788,0.842364532,0.209694555,3.541957404,3.227255326,3.294474081,0.973618632,2.32085545,FALSE,FALSE
Microvascular,TSPAN12,2.82732575,5.96327E-55,4.46931E-53,0.56146717,3.27947E-09,1.30811E-07,0.35264833,0.389162562,0.055245684,1.991514286,1.201516559,0.629961078,-2.976440926,3.606402004,FALSE,TRUE
Microvascular,C16orf80,2.815989388,4.62978E-86,7.08904E-84,1.080610538,1.84349E-49,8.46817E-47,1.655517352,0.677339901,0.128685259,2.958094385,1.756891937,2.396046581,-1.201179402,3.597225983,FALSE,TRUE
Microvascular,C8orf4,2.811612124,1.25047E-85,1.85486E-83,0.85377565,3.483E-14,2.8836E-12,1.919685534,0.706896552,0.141301461,3.411398489,3.168696263,2.910969692,0.345547907,2.565421785,FALSE,FALSE
Microvascular,TSPAN4,2.796365756,2.13681E-85,3.10492E-83,0.232355162,0.002077184,0.015540129,1.952979376,0.637931034,0.115803453,2.648699671,2.622658684,2.000172491,-0.487584981,2.487757472,FALSE,FALSE
Microvascular,MCPH1,2.741270215,6.91171E-18,1.38234E-16,0.410593864,0.06387845,0.198739158,0.121319105,0.088669951,0.01752988,1.735781011,1.28116442,-1.759614572,-4.552761033,2.793146461,TRUE,FALSE
Microvascular,EGLN3,2.596838954,8.51559E-62,7.5318E-60,0.662538823,1.00226E-14,8.70257E-13,0.802894624,0.399014778,0.066666667,2.308649535,1.616214322,0.983165131,-2.290653584,3.273818715,TRUE,FALSE
Microvascular,TBCD,2.400544343,3.32335E-43,1.7926E-41,0.471398929,2.07682E-08,7.2842E-07,0.385586576,0.381773399,0.056706507,1.969681346,1.135437178,0.580471888,-3.004867089,3.585338977,TRUE,FALSE
Microvascular,IVNS1ABP,2.347092476,1.48179E-53,1.06569E-51,0.717650698,1.65384E-19,2.04788E-17,0.53234552,0.463054187,0.130544489,2.275510457,1.459649294,1.164764581,-1.477725217,2.642489798,TRUE,FALSE
Microvascular,RARG,2.34569195,1.93644E-24,5.4712E-23,0.202633441,0.123626927,0.317369289,0.195389209,0.165024631,0.02563081,1.778937943,1.263139154,-0.820301458,-4.022759263,3.202457805,TRUE,FALSE
Microvascular,TBC1D8,2.289542876,2.27914E-14,3.61817E-13,0.282751277,0.158293107,0.377950008,0.136290573,0.098522167,0.011553785,1.688856311,1.469368547,-1.65453741,-4.965968601,3.31143119,TRUE,FALSE
Microvascular,RIN1,2.282736643,7.36052E-24,2.00793E-22,0.512544613,1.16144E-05,0.000219933,0.187920249,0.206896552,0.026427623,1.816524083,0.881347999,-0.456489004,-4.360362167,3.903873163,FALSE,TRUE
Microvascular,ME3,2.058064548,2.16285E-28,7.21287E-27,0.81313061,3.63423E-21,5.07367E-19,0.293139368,0.310344828,0.042363878,1.928053469,0.832162019,0.240000377,-3.728796431,3.968796808,TRUE,TRUE
