CD81+PDGFRAlow,ACKR4+fibroblast,CD81-PDGFRAlow,Telocyte,small intestine arteriole,small intestine capillary,small intestine vein,small intestine lymphatic,colon capillary arterial,colon capillary,colon vein,colon lymphatic
,,,,NUDT3,CBL,PRPF18,BMP2K,TLE6,RANGRF,NBL1,AEBP1
,,,,MED20,TRIM16,PMM2,PPP2R5A,RNF20,COL4A4,TES,F2RL1
,,,,GTF2F2,MAP3K8,PRKAG2,RALGPS2,FAM57A,ARL5A,CYGB,DMTN
,,,,TXLNG,SNHG12,PACS2,PGF,L3HYPDH,PARP1,SLC16A3,TRF
,,,,SPPL2A,TBC1D22A,CDK2,ADRB2,SLC35F6,ZDHHC8,CSF2RB,GM9780
,,,,CNPY4,PITPNC1,COMTD1,MPP7,CRYBB3,ZFP281,PBX1,MICAL2
,,,,KLHDC8B,SHANK3,GET4,PIEZO2,TYK2,MOB3C,TRRAP,DAB2
,,,,MYG1,EPHA2,ZFP46,GBP7,ANKRA2,CCNC,RGS16,SORD
,,,,METTL3,HRCT1,SELENBP1,LGALS3BP,CD3EAP,CDK1,FLT3L,EMID1
,,,,HBB-BS,XPC,ZDHHC7,MEIS2,CDK5RAP3,SLC39A9,H2AFY,SEMA6A
,,,,DDX55,TTYH3,KMT2B,HOMER3,ZBTB2,EPHA2,NEURL1B,LMO2
,,,,GNPAT,UPF1,PCGF3,ETNK1,PHF3,RRN3,PHLDA1,LOXL2
,,,,CDC23,MGAT1,TLR3,AP2A2,NOC3L,PANK4,CENPT,TNS1
,,,,PTCD2,KRR1,LRRK1,FAM102B,TSC2,XPA,MAFB,OGT
,,,,ELMSAN1,CXCR4,RNF19B,NF1,RANBP2,AFTPH,D16ERTD472E,GJC2
,,,,PRRG1,RNF185,GUSB,MYO7A,CDC37L1,IWS1,GEM,HOXD9
,,,,ATXN7,RCBTB2,MPHOSPH10,P3H3,PAFAH1B3,FBRS,NPEPPS,PLCE1
,,,,TMUB2,ARIH2,NDUFAF2,PRKCQ,XRN1,RAD17,2810474O19RIK,SIRPA
,,,,PRPF3,GFM1,ID2,PRKCZ,CLN8,EMC9,MGAT4A,COL23A1
,,,,NUBP2,GJC1,TNS2,ADAMTS15,TMTC3,TBCEL,YME1L1,PIEZO2
,,,,TBPL1,EPHA4,DCTN1,REEP3,MYO5A,CISH,GRK6,NFAT5
,,,,ZFPM1,ARRDC3,44084,SLC9A9,ZCCHC3,DGCR14,PDE9A,MYZAP
,,,,TFEB,WDFY1,CPSF7,RGS7BP,GMEB2,PSEN1,PALLD,DOCK9
,,,,SH3BP5L,PRKAR2A,MARVELD1,CPQ,GM17501,AASDHPPT,TNRC18,FAM189A2
,,,,KAT6B,PRKCE,RBM28,PAM,TMEM221,USB1,SLC2A1,RAPH1
,,,,UCK1,RAB31,USP37,IGSF3,PMS2,ARMC8,TMEM158,ISLR2
,,,,TIMM22,YAP1,FAM84B,RFTN2,ZMAT1,NIN,ATF3,ADAMTSL1
,,,,LRRC57,FBXW11,CARM1,CLDN4,TUBGCP4,IPO8,KANK1,EPHX1
,,,,RUSC2,USP39,SCFD1,MMP14,MOB3B,NF2,PARP4,GLS
,,,,PPA2,MAP3K4,NCBP2,LHFPL2,ZFP101,GLB1,PXMP2,BMP2K
,,,,ALDH7A1,CFAP36,CNDP2,IFIT3,ARNT,EDEM3,AK1,ABLIM2
,,,,FAT4,TNK2,DGCR2,RCN3,FBXL12,PHF21A,SLC26A2,DENND4A
,,,,LRRC47,MPRIP,ZBTB14,PLOD1,SRCAP,SNX13,DHH,MEGF6
,,,,RAB4B,RENBP,R3HCC1L,MEGF6,MMAB,ATG9B,PRKAG2,SSBP2
,,,,MRPL19,UBAP1,RPS6KA4,C77080,SF3A1,WRAP73,PLAC8,PTN
,,,,ZBED3,ANAPC4,KDM5A,HSPA4L,ZFP84,TANGO2,TMEM173,IGSF3
,,,,ZFP462,RXRA,ACBD5,HSPA1B,POGK,FIZ1,CXCL16,GM1673
,,,,NPEPPS,LYSMD3,KDM3A,FLNC,HBEGF,ZFP329,ATP11C,KBTBD11
,,,,ZFP524,CASC3,PBRM1,AHNAK2,USP20,NOL4L,RASSF9,SLCO2B1
,,,,SLC7A6OS,MYCBP,SIAH1A,FXYD1,RFX3,ANKRD40,AU020206,CREB5
,,,,IDH1,SCAF4,FAM171A2,OTUD1,1700037C18RIK,CSTF2T,FBXL6,TGFBR2
,,,,TUBGCP4,SOS1,EMC10,TNFAIP8L3,6030458C11RIK,CHORDC1,SPACA6,PGLYRP1
,,,,RNASEH2A,FAM76B,PAN3,EFCC1,AP3M2,TNFAIP3,EVL,B3GNT8
,,,,CRY1,FNBP1,DLST,MTMR12,LANCL2,2510039O18RIK,SPOCK2,ACKR2
,,,,DHX16,ZFP821,GOLGA3,ISG15,KDM2B,BIRC2,RNF103,CPED1
,,,,ABHD8,RAB40C,SLC39A1,ADAM10,ZFP689,KLHL18,PICK1,CD55
,,,,ZFP397,PCNX,APOA1,PGM5,DPH5,LMAN2L,IFITM1,PPP3CA
,,,,MAP2K4,DUSP7,RREB1,CCDC69,KCTD6,MCCC1,CMAH,LHFP
,,,,MAP4K3,ACYP2,NEURL1B,CELF2,ZFP1,EIF4ENIF1,RRP7A,MAP4K2
,,,,LAYN,TRIM3,VARS,GM14964,FAM199X,ZFP821,TBL1XR1,G0S2
,,,,RWDD4A,GTPBP2,LONP1,SORD,CMTR1,UBR3,PRKCE,RFTN2
,,,,KPNA1,TRIB2,SMIM24,IFIT1,NT5C2,ACOT2,TMEM131,PRKCQ
,,,,CLASP1,RCN1,TJP2,NRIP1,PPP1R8,TRMT1,DMWD,KCNN3
,,,,STAM2,TFPT,ETV6,THRA,JRKL,SUCLG2,WDFY1,PDE4B
,,,,NFYC,CASD1,KCMF1,IFIT2,MOV10,PRPS1,ERDR1,APBA2
,,,,PDCD7,RCOR1,AATF,4932438A13RIK,HIST1H4I,UGGT1,HIVEP1,CLCA3A1
,,,,ARL14EP,UBE4B,2410002F23RIK,FAM168A,ATG4D,ERCC5,SP140,AKAP12
,,,,TRADD,SLC1A5,TACC2,EMID1,DGCR8,POMC,CLK1,DUSP2
,,,,KRI1,THAP7,ATP6V0A2,GPSM3,ZFP820,IDO1,NUFIP2,IL33
,,,,ZHX1,TMEM251,TRIM30D,FRMD4B,SLC35B4,PXMP4,TMTC2,ITPRIPL2
,,,,DCTPP1,NKIRAS1,REV1,B3GNT8,SMC2,JAK3,TPPP,PTPRE
,,,,POLD2,COMMD2,GAK,SNED1,HUS1,FDFT1,SNHG12,TSPAN6
,,,,WIPF2,PLA2G12A,GNL1,SEMA3A,ZADH2,RBM48,RING1,ZCCHC14
,,,,ABCE1,CKB,2310039H08RIK,ARHGEF40,AFG3L2,FADD,TTC39B,APH1B
,,,,SETX,BTD,PDZD11,TRIM12A,MRPS31,METTL14,RRNAD1,CDK6
,,,,DNAJC24,UBAC1,CAMKK2,SYNM,SMIM24,SPHK2,RBM34,MAFF
,,,,GPX7,CUL2,HELZ,AGFG1,CARM1,USF3,ADAMTS9,GALNT1
,,,,LIG1,VPS50,MED29,NOTCH2,MAP3K12,XLR,NR4A2,ZFHX3
,,,,RNMT,YKT6,TMEM245,PLCE1,TAF5L,ARHGAP35,RBM14,NRXN2
,,,,KANSL2,SIAH2,NAV1,PHLDA3,NEMF,SCAPER,UVSSA,HTR2B
,,,,SEMA6D,NUCB2,SYT7,ZCCHC24,ZHX1,CTR9,GFOD2,EMP1
,,,,COPS3,POLDIP3,PDGFA,MICALL1,AP4M1,TSPYL2,PCYT1A,CD82
,,,,DHRS7B,CBX4,NOC2L,HIVEP3,SLC25A53,MMAA,FAM126B,LRRN4CL
,,,,MSH2,ISY1,ATRX,SULF2,TTBK2,PUS1,RGS2,GNG2
,,,,ACAD9,HPS5,CHD8,C1QTNF6,RCCD1,FBXL14,RFWD2,LYL1
,,,,TMEM101,MCM3,SLC25A36,APH1B,SKIDA1,SIN3A,FBXO38,ASPH
,,,,ABHD13,TFE3,ATP13A1,IRGM2,FAM193B,VPS37A,GAB1,FSTL1
,,,,EIF4G3,UPF3A,2210016F16RIK,4833422C13RIK,ARMT1,ARID3A,HCFC1,CFH
,,,,PAF1,KLHDC3,DENND4C,D830026I12RIK,LRP6,SLC10A7,RAPGEF5,HSPA5
,,,,TAF9B,FRMD4A,AGTPBP1,ANG,INTS1,CSTF1,USP9X,MEIS2
,,,,SDCCAG3,ZDHHC17,DTX3L,CTDSPL,CEP70,TRMT10C,ANKFY1,NR1H3
,,,,NAA16,PROSER1,CPSF6,NCF2,ANKRD26,KPNA6,ZMIZ2,CD302
,,,,PDHB,KDM3B,PTPN11,CYP1A1,WFS1,SLC16A13,PRELID2,TPD52
,,,,FAM160A2,NRBF2,CEBPZOS,PELI1,SLC4A7,OSBPL7,PTAFR,KLF6
,,,,RBM15B,NCOA1,KSR1,GM12216,RAB6B,ISY1,FUOM,EFCC1
,,,,SUDS3,UGGT1,AASDHPPT,SRD5A3,MOB1B,OGG1,ADRB2,NOTCH1
,,,,ZFP330,ZFP532,ZDHHC5,DOCK1,SORBS1,PACS1,PPP1R37,CHST1
