replicate,162Dy_LRIG1_1,174Yb_Clusterin_1,pro_vs_rev,pro_vs_rev_log2,genotype,culture,ligand,inhibitor
1,2.3250884185651817,3.4874180143184055,0.8267879968702362,-0.6614584851760046,A,A_TGFb1-PF573228,TGFb1,PF573228
2,2.3690936714456976,3.4557496251267463,0.9236221734316826,-0.5772162528642097,A,A_TGFb1-PF573228,TGFb1,PF573228
3,2.5296436319465174,3.5302504696415373,0.826494203857849,-0.5827613488969208,A,A_TGFb1-PF573228,TGFb1,PF573228
1,2.649021898538964,3.1583669216068366,0.9553615983523188,-0.29617119370638434,A,A_TGFb1-SIS3,TGFb1,SIS3
2,2.5358710869214254,3.36170731544359,0.8451142197024106,-0.44404476370060714,A,A_TGFb1-SIS3,TGFb1,SIS3
3,2.496923352341579,3.218491418440498,0.8767251273057437,-0.40771933415725026,A,A_TGFb1-SIS3,TGFb1,SIS3
1,2.154716241755591,3.0167924237404016,1.0464322365165315,-0.5380518031523447,A,A_TGFb1-Trametinib,TGFb1,Trametinib
2,2.0831223764394964,2.6906486531850837,1.242366449493522,-0.34463502852137706,A,A_TGFb1-Trametinib,TGFb1,Trametinib
3,2.3177490548659514,3.2699264883127634,0.9255194556469967,-0.5478206633049427,A,A_TGFb1-Trametinib,TGFb1,Trametinib
1,2.121383066871764,2.8681510531680887,0.9063294979109322,-0.48207974071179055,A,A_WNT3A-CA3,WNT3A,CA3
2,1.858158921076472,2.789335309758667,0.7480635072885033,-0.6925615696864363,A,A_WNT3A-CA3,WNT3A,CA3
3,1.9633452833174092,2.9451354887765158,0.7900373476898229,-0.657843453517037,A,A_WNT3A-CA3,WNT3A,CA3
1,2.793162065783374,2.4484011312764093,1.6395387525896656,0.29750859165275356,A,A_WNT3A-CHIR99021,WNT3A,CHIR99021
2,2.951390864778268,2.5515655893649685,1.5568800469091182,0.30372988591859634,A,A_WNT3A-CHIR99021,WNT3A,CHIR99021
3,2.8778227829181104,2.4563683078548086,1.7525217239762334,0.34274754150697134,A,A_WNT3A-CHIR99021,WNT3A,CHIR99021
1,2.9635925974520165,3.218969374022419,1.061931549540349,-0.10188891268533198,A,A_WNT3A-Ctrl,WNT3A,Ctrl
2,2.8786583648742003,3.1961166432166763,1.0494271060458407,-0.12690590176127964,A,A_WNT3A-Ctrl,WNT3A,Ctrl
3,2.8159292670920903,2.858880814422242,1.2695057907924345,0.030219728528521398,A,A_WNT3A-Ctrl,WNT3A,Ctrl
1,2.718987144400143,3.057337946983006,1.097041046115553,-0.14859107153235518,A,A_WNT3A-Dasatinib,WNT3A,Dasatinib
2,2.6627690181175616,3.0456085006268205,1.0921831304129814,-0.17462361254470193,A,A_WNT3A-Dasatinib,WNT3A,Dasatinib
3,2.5433021668013733,3.322462806473306,0.9197338153303212,-0.40652658826395727,A,A_WNT3A-Dasatinib,WNT3A,Dasatinib
1,2.2700095003528786,3.2027808288168957,0.7799772934337853,-0.5637077060018277,A,A_WNT3A-GDC0941,WNT3A,GDC0941
2,2.4200624086732896,3.3159947439308493,0.8324091171285349,-0.5310911872574771,A,A_WNT3A-GDC0941,WNT3A,GDC0941
3,2.511782187665773,3.5178297697055423,0.7887784483888287,-0.5629874165886019,A,A_WNT3A-GDC0941,WNT3A,GDC0941
1,2.2992250067210276,2.8860676215354966,0.967796538788792,-0.3119584349896653,A,A_WNT3A-ICG001,WNT3A,ICG001
2,2.5415069032201,2.895352088087807,1.0591274524579732,-0.18111080851422276,A,A_WNT3A-ICG001,WNT3A,ICG001
3,2.662159933418898,3.140272980084767,1.0030491243213613,-0.21392139451764644,A,A_WNT3A-ICG001,WNT3A,ICG001
1,2.712920215282971,3.178202390913177,0.9954523003704033,-0.24469098245395104,A,A_WNT3A-PF573228,WNT3A,PF573228
