Supplementary Table 6. Gene signatures used throughout the study.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GSEA name,MUNOZ LGR5 SIGNATURE,MUSTATA FETAL SPHEROID UPREGULATED,Label Retaining Cells,Revival Stem Cells,Enteroendocrine,Paneth Cells,Mucosecreeting,Crypt proliferation,Mex3a signature Barriga et al.,Secretory Progenitors,Goblet,Lgr5 Signature,ki67 (HI vs low) signature,Human LGR5-Hi / MEX3A-Hi signature,Human Lgr5-HI / Mex3a-Low signature,YAP direct targets
,,,,,,,,PFAS,,,,,,,,
,,,,,,,,PGM2L1,,,,,,,,
,,,,,,,,PIP4K2B,,,,,,,,
,,,,,,,,PLK1,,,,,,,,
,,,,,,,,PLK4,,,,,,,,
,,,,,,,,POLA1,,,,,,,,
,,,,,,,,POLD1,,,,,,,,
,,,,,,,,POLE,,,,,,,,
,,,,,,,,POLE2,,,,,,,,
,,,,,,,,POLI,,,,,,,,
,,,,,,,,POLR1E,,,,,,,,
,,,,,,,,PPAT,,,,,,,,
,,,,,,,,PPIL5,,,,,,,,
,,,,,,,,PRC1,,,,,,,,
,,,,,,,,PRIM1,,,,,,,,
,,,,,,,,PRIM2,,,,,,,,
,,,,,,,,PRKD3,,,,,,,,
,,,,,,,,PRR11,,,,,,,,
,,,,,,,,PSIP1,,,,,,,,
,,,,,,,,PSMC3IP,,,,,,,,
,,,,,,,,PUS7,,,,,,,,
,,,,,,,,QSOX2,,,,,,,,
,,,,,,,,QTRT1,,,,,,,,
,,,,,,,,RACGAP1,,,,,,,,
,,,,,,,,RAD18,,,,,,,,
,,,,,,,,RAD51,,,,,,,,
,,,,,,,,RAD51AP1,,,,,,,,
,,,,,,,,RAD51C,,,,,,,,
,,,,,,,,RAD54B,,,,,,,,
,,,,,,,,RAD54L,,,,,,,,
,,,,,,,,RASA3,,,,,,,,
,,,,,,,,RBBP6,,,,,,,,
,,,,,,,,RCC2,,,,,,,,
,,,,,,,,RFC3,,,,,,,,
,,,,,,,,RPA2,,,,,,,,
,,,,,,,,RPP40,,,,,,,,
,,,,,,,,RPUSD2,,,,,,,,
,,,,,,,,RRM1,,,,,,,,
,,,,,,,,RRM2,,,,,,,,
,,,,,,,,RRP15,,,,,,,,
,,,,,,,,RRP1B,,,,,,,,
,,,,,,,,SCML2,,,,,,,,
,,,,,,,,SEMA3C,,,,,,,,
,,,,,,,,SEMA4D,,,,,,,,
,,,,,,,,SETDB1,,,,,,,,
,,,,,,,,SGOL1,,,,,,,,
,,,,,,,,SGOL2,,,,,,,,
,,,,,,,,SHCBP1,,,,,,,,
,,,,,,,,SIVA1,,,,,,,,
,,,,,,,,SKA1,,,,,,,,
,,,,,,,,SKA2,,,,,,,,
,,,,,,,,SKA3,,,,,,,,
,,,,,,,,SLC12A2,,,,,,,,
,,,,,,,,SLC16A12,,,,,,,,
,,,,,,,,SLC1A5,,,,,,,,
,,,,,,,,SLC7A2,,,,,,,,
,,,,,,,,SLC7A5,,,,,,,,
,,,,,,,,SLFN13,,,,,,,,
,,,,,,,,SMC2,,,,,,,,
,,,,,,,,SPAG5,,,,,,,,
,,,,,,,,SPC24,,,,,,,,
,,,,,,,,SYCE2,,,,,,,,
,,,,,,,,TACC3,,,,,,,,
,,,,,,,,TAF4B,,,,,,,,
,,,,,,,,TBC1D19,,,,,,,,
,,,,,,,,TBC1D4,,,,,,,,
,,,,,,,,TCF19,,,,,,,,
,,,,,,,,TIMELESS,,,,,,,,
,,,,,,,,TIMP3,,,,,,,,
,,,,,,,,TIPIN,,,,,,,,
,,,,,,,,TK1,,,,,,,,
,,,,,,,,TLR2,,,,,,,,
,,,,,,,,TMEFF1,,,,,,,,
,,,,,,,,TMEM107,,,,,,,,
,,,,,,,,TMEM173,,,,,,,,
,,,,,,,,TMEM194B,,,,,,,,
,,,,,,,,TMEM48,,,,,,,,
,,,,,,,,TOPBP1,,,,,,,,
,,,,,,,,TPX2,,,,,,,,
,,,,,,,,TRAIP,,,,,,,,
,,,,,,,,TRIM37,,,,,,,,
,,,,,,,,TRIM68,,,,,,,,
,,,,,,,,TRIP13,,,,,,,,
,,,,,,,,TSGA14,,,,,,,,
,,,,,,,,TSPAN12,,,,,,,,
,,,,,,,,TTPA,,,,,,,,
,,,,,,,,TUBB,,,,,,,,
,,,,,,,,TUBE1,,,,,,,,
,,,,,,,,TXNDC16,,,,,,,,
,,,,,,,,UBE2T,,,,,,,,
,,,,,,,,UHRF1,,,,,,,,
,,,,,,,,UNG,,,,,,,,
,,,,,,,,UTP15,,,,,,,,
,,,,,,,,VRK1,,,,,,,,
,,,,,,,,WDHD1,,,,,,,,
,,,,,,,,WDR34,,,,,,,,
,,,,,,,,WDR35,,,,,,,,
,,,,,,,,WDR76,,,,,,,,
,,,,,,,,WWTR1,,,,,,,,
,,,,,,,,XRCC2,,,,,,,,
,,,,,,,,ZBTB16,,,,,,,,
,,,,,,,,ZBTB25,,,,,,,,
,,,,,,,,ZC3H7B,,,,,,,,
,,,,,,,,ZFP783,,,,,,,,
,,,,,,,,ZMYND19,,,,,,,,
,,,,,,,,ZNF275,,,,,,,,
,,,,,,,,ZNF367,,,,,,,,
,,,,,,,,ZNF473,,,,,,,,
,,,,,,,,ZNF704,,,,,,,,
,,,,,,,,ZNRF3,,,,,,,,
,,,,,,,,ZRANB3,,,,,,,,
,,,,,,,,ZWILCH,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
